author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
Абсолют Недвижимость,developer,https://www.cian.ru/sale/flat/304065659/,Москва,sale,flat,4,17,2,49.8,53567000,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/302081797/,Москва,sale,flat,2,10,2,69.4,85000000,Тверской, Палиха,4,Менделеевская,Клубный дом Maison Rouge
Акрополь,real_estate_agent,https://www.cian.ru/sale/flat/300605973/,Москва,sale,flat,15,16,1,34.3,9500000,, Василия Ощепкова,2,Коммунарка,Москвичка
VESPER,developer,https://www.cian.ru/sale/flat/262519758/,Москва,sale,flat,5,21,2,110.6,103787040,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
ID 85604823,unknown,https://www.cian.ru/sale/flat/299429352/,Москва,sale,flat,38,51,2,63.0,36000000,Пресненский,Шмитовский проезд,39к8,Шелепиха,Headliner
Вертикаль,real_estate_agent,https://www.cian.ru/sale/flat/299562651/,Москва,sale,flat,11,14,1,40.0,8550000,Люблино,Ставропольская ,64К2,Люблино,
VESPER,developer,https://www.cian.ru/sale/flat/286258299/,Москва,sale,flat,5,9,2,104.2,143796000,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/276019027/,Москва,sale,flat,6,6,2,130.0,58000000,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
Космополис,real_estate_agent,https://www.cian.ru/sale/flat/303570625/,Москва,sale,flat,12,12,2,45.6,9750000,Бибирево,Белозерская ,1А,Алтуфьево,
Главстрой,developer,https://www.cian.ru/sale/flat/296921240/,Москва,sale,flat,3,26,2,65.8,27526142,Филевский парк,Береговой проезд,2,Народное Ополчение,Береговой-2
САДОВЫЕ КВАРТАЛЫ,real_estate_agent,https://www.cian.ru/sale/flat/303087931/,Москва,sale,flat,7,15,2,120.0,149500000,Хамовники, Усачева,15,Спортивная,Садовые кварталы
ID 221886,realtor,https://www.cian.ru/sale/flat/303196246/,Москва,sale,flat,2,9,2,45.3,14600000,Северное Медведково,Студеный проезд,38к1,Медведково,
MR Group,developer,https://www.cian.ru/sale/flat/299093508/,Москва,sale,flat,11,41,2,58.5,33468738,Даниловский,Дубининская ,59к7,Серпуховская,Павелецкая Сити
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/303589233/,Москва,sale,flat,8,18,2,84.0,62750000,Тверской, Александра Невского,27,Белорусская,
СОВКОМБАНК,official_representative,https://www.cian.ru/sale/flat/297233032/,Москва,sale,flat,12,12,1,39.0,9700000,Гольяново,Уральская ,1,Щёлковская,
Главстрой,developer,https://www.cian.ru/sale/flat/301772281/,Москва,sale,flat,2,8,2,48.83,24219680,Котловка,31/2,31/2,Профсоюзная,Новые Академики ЖК
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/298050405/,Москва,sale,flat,7,9,2,108.3,169000000,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
ГОРОБМЕН,real_estate_agent,https://www.cian.ru/sale/flat/302360136/,Москва,sale,flat,6,9,2,45.5,14700000,Бескудниковский,Бескудниковский бульвар,10К3,Верхние Лихоборы,
PIONEER,developer,https://www.cian.ru/sale/flat/301513284/,Москва,sale,flat,4,22,2,47.2,24921930,Марьина роща,Полковая ,1С12,Савёловская,PRIDE
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/302837942/,Москва,sale,flat,8,18,2,84.0,62750000,Тверской, Александра Невского,27,Белорусская,
Никита Гаврилов,realtor,https://www.cian.ru/sale/flat/303952576/,Москва,sale,flat,4,17,2,55.0,21750000,Раменки, Раменки,12,Раменки,
Среда,developer,https://www.cian.ru/sale/flat/303859205/,Москва,sale,flat,6,27,2,53.6,20630640,Очаково-Матвеевское,Очаково мкр,,Аминьевская,Среда на Лобачевского
ID 111240424,homeowner,https://www.cian.ru/sale/flat/300143306/,Москва,sale,flat,38,52,2,63.0,36000000,Пресненский,Шмитовский проезд,39к1,Шелепиха,Headliner
Алина Валиуллина,realtor,https://www.cian.ru/sale/flat/304000697/,Москва,sale,flat,5,12,2,52.0,28900000,Мещанский,переулок Васнецова,3,Цветной бульвар,
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/303040420/,Москва,sale,flat,4,6,2,74.91,124200780,Замоскворечье,Космодамианская набережная,4/22С8,Новокузнецкая,Клубный дом Космо 4/22
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/301493797/,Москва,sale,flat,9,32,2,63.0,50700000,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
Никита Гаврилов,realtor,https://www.cian.ru/sale/flat/303910013/,Москва,sale,flat,5,17,2,58.0,19150000,Марьино,Новочеркасский бульвар,47,Марьино,
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/303040534/,Москва,sale,flat,3,8,2,75.2,50308800,Замоскворечье,Шлюзовая набережная,2/1С1,Павелецкая,Элитный жилой комплекс 
ID 86900871,realtor,https://www.cian.ru/sale/flat/297947020/,Москва,sale,flat,2,3,2,46.3,56000000,Басманный, Маросейка,11/4С1,Китай-город,
OPN PARTNER,real_estate_agent,https://www.cian.ru/sale/flat/303116228/,Москва,sale,flat,5,22,1,41.0,11200000,Бирюлево Восточное,6-я Радиальная ,7/1к2,Царицыно,Царицыно-2
MR Group,developer,https://www.cian.ru/sale/flat/300287958/,Москва,sale,flat,33,43,2,58.83,27333836,Савеловский,2-я Хуторская ,34,Дмитровская,SYMPHONY 34
ID 112591621,homeowner,https://www.cian.ru/sale/flat/301839935/,Москва,sale,flat,13,45,2,51.0,31500000,Дорогомилово,Кутузовский проезд,16А/1,Деловой центр,River Park Кутузовский
SITRealty,real_estate_agent,https://www.cian.ru/sale/flat/303560811/,Москва,sale,flat,4,7,1,40.0,9650000,, Медовая Долина,2,Санино,Баркли Медовая долина
ANT Development,developer,https://www.cian.ru/sale/flat/303519450/,Москва,sale,flat,22,34,2,50.6,59236384,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/302383452/,Москва,sale,flat,63,65,2,86.0,96000000,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
BERI,real_estate_agent,https://www.cian.ru/sale/flat/303804363/,Москва,sale,flat,9,9,2,56.3,18490000,Филевский парк,Новозаводская ,2к8А,Фили,
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/302186750/,Москва,sale,flat,19,27,2,73.0,33653000,Басманный, Фридриха Энгельса,56,Бауманская,Премиум-квартал 
Life Style,real_estate_agent,https://www.cian.ru/sale/flat/294212104/,Москва,sale,flat,34,78,2,76.1,62000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
Ксения Шахматова,realtor,https://www.cian.ru/sale/flat/301314393/,Москва,sale,flat,5,9,2,40.0,14290000,Южное Тушино,Химкинский бульвар,1,Сходненская,
Киноцентр,developer,https://www.cian.ru/sale/flat/302253810/,Москва,sale,flat,7,20,2,54.85,54795150,Пресненский,Дружинниковская ,15,Краснопресненская,SkyView
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303753500/,Москва,sale,flat,3,5,2,69.3,52000000,Хорошевский,Ленинградский проспект,37/5,Аэропорт,Прайм Парк
BERI,real_estate_agent,https://www.cian.ru/sale/flat/303866591/,Москва,sale,flat,4,5,2,42.8,11500000,Новогиреево,Мартеновская ,16/36,Новогиреево,
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/298516517/,Москва,sale,flat,2,11,2,47.0,24769000,,,В14 кв-л,Павшино,Сберсити ЖК
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/295800676/,Москва,sale,flat,4,17,2,44.5,39500000,Пресненский,Звенигородское шоссе,11,Улица 1905 года,Дизайнерский дом Eleven
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/303202031/,Москва,sale,flat,2,25,2,41.3,12200000,Орехово-Борисово Южное,Ясеневая ,12к2,Домодедовская,Ясеневая 14
Tekta Group,developer,https://www.cian.ru/sale/flat/301259751/,Москва,sale,flat,23,42,2,41.6,25837760,Котловка,Севастопольский проспект,22А,Нагорная,Eniteo
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/302967733/,Москва,sale,flat,10,12,1,49.0,10500000,, Липовый Парк,4к1,Коммунарка,
ALFA real estate,real_estate_agent,https://www.cian.ru/sale/flat/300964449/,Москва,sale,flat,20,22,2,38.4,15500000,Южное Тушино,бульвар Яна Райниса,45К2,Сходненская,
EraOneHolding,developer,https://www.cian.ru/sale/flat/280427150/,Москва,sale,flat,3,5,2,178.6,150400000,Арбат, Арбат,39,Смоленская,Artisan
UINVEST,real_estate_agent,https://www.cian.ru/sale/flat/295055371/,Москва,sale,flat,6,16,1,38.7,9490000,,,к2.4,Румянцево,Тропарево Парк
Лофт Инвест,real_estate_agent,https://www.cian.ru/sale/flat/303620086/,Москва,sale,flat,16,16,1,19.5,6290000,Отрадное,Алтуфьевское шоссе,2,Владыкино,
Tekta Group,developer,https://www.cian.ru/sale/flat/301260478/,Москва,sale,flat,5,27,2,40.5,24036750,Даниловский,,,Павелецкая,Era
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301565559/,Москва,sale,flat,5,21,2,117.0,115000000,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
ЦРУ,real_estate_agent,https://www.cian.ru/sale/flat/304044237/,Москва,sale,flat,9,9,1,30.3,12000000,Восточное Измайлово,Измайловский бульвар,67К1,Первомайская,
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/301919896/,Москва,sale,flat,2,7,2,72.1,26958190,,,В17 кв-л,Опалиха,Сберсити ЖК
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/272186797/,Москва,sale,flat,11,24,2,46.5,21900000,Головинский,Головинское шоссе,11,Водный стадион,Талисман на Водном
Dream Realty,real_estate_agent,https://www.cian.ru/sale/flat/300877720/,Москва,sale,flat,25,37,2,57.0,23000000,Останкинский, Годовикова,11к5,Алексеевская,iLove
Tekta Group,developer,https://www.cian.ru/sale/flat/303224329/,Москва,sale,flat,7,34,2,41.4,21296160,Обручевский,,,Воронцовская,Эвер ЖК
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/272003903/,Москва,sale,flat,5,6,2,43.0,27500000,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
,,https://www.cian.ru/sale/flat/301960480/,Москва,sale,flat,1,4,2,53.8,9400000,Фили-Давыдково, Алексея Свиридова,1,Кунцевская,
Сбербанк Капитал,developer,https://www.cian.ru/sale/flat/288177346/,Москва,sale,flat,2,7,2,112.8,118321582,Якиманка,Софийская набережная,36,Новокузнецкая,Резиденция 1864
Бюро Эстейт Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301212653/,Москва,sale,flat,2,24,2,57.4,26000000,Хорошево-Мневники,Шелепихинская набережная,40к2,Шелепиха,Sydney City
Наталья Ронжина,realtor,https://www.cian.ru/sale/flat/301614406/,Москва,sale,flat,2,8,2,42.3,18800000,Аэропорт,Ленинградский проспект,78К2,Сокол,
СИТИ21,developer,https://www.cian.ru/sale/flat/292035501/,Москва,sale,flat,14,15,2,75.8,41390372,Останкинский,проспект Мира,95,Алексеевская,Hill8
Villagio Realty,real_estate_agent,https://www.cian.ru/sale/flat/303902201/,Москва,sale,flat,17,24,2,45.0,37000000,Хорошевский,Хорошевское шоссе,25Ак2,Полежаевская,Династия
PnP Development,real_estate_agent,https://www.cian.ru/sale/flat/291263455/,Москва,sale,flat,1,14,1,24.1,5790000,Солнцево,Боровский проезд,24,Солнечная,
COLDY,developer,https://www.cian.ru/sale/flat/303330158/,Москва,sale,flat,2,15,2,70.8,54813512,Даниловский, Серпуховский Вал,7,Тульская,Дом 7 Даниловский
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/300942839/,Москва,sale,flat,2,7,2,82.6,38000000,Беговой,Ленинградский проспект,15С28,Белорусская,Bolshevik
ALFA real estate,real_estate_agent,https://www.cian.ru/sale/flat/300967746/,Москва,sale,flat,6,24,2,40.0,16500000,Митино,Муравская ,46к3,Пятницкое шоссе,Эко-квартал Аквилон Митино
Hutton Development,developer,https://www.cian.ru/sale/flat/303616433/,Москва,sale,flat,5,6,2,75.6,181440000,Якиманка,Софийская набережная,34С3,Новокузнецкая,Клубный дом DUO
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/299860953/,Москва,sale,flat,9,41,1,40.5,27000000,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк
Виктория Яковлева,realtor,https://www.cian.ru/sale/flat/303954401/,Москва,sale,flat,11,12,2,42.0,14999000,Бутырский, Яблочкова,41,Фонвизинская,
Пионер,developer,https://www.cian.ru/sale/flat/301459955/,Москва,sale,flat,4,11,2,85.3,70625414,Даниловский,,,Павелецкая,Опус ЖК
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/299890518/,Москва,sale,flat,9,40,1,41.5,32000000,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/302998801/,Москва,sale,flat,9,9,2,46.0,27600000,Хамовники,3-я Фрунзенская ,17,Спортивная,
MR Group,developer,https://www.cian.ru/sale/flat/302792260/,Москва,sale,flat,4,13,2,85.76,108088817,Мещанский,Садовая-Сухаревская ,14,Цветной бульвар,Клубный дом Forum
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/301550653/,Москва,sale,flat,13,41,1,41.5,31000000,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
ID 515728,unknown,https://www.cian.ru/sale/flat/304001773/,Москва,sale,flat,5,9,2,35.0,13850000,Коптево,4-й Новомихалковский проезд,6,Лихоборы,
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/293721204/,Москва,sale,flat,3,13,2,82.36,44400276,,,В20 кв-л,Павшино,Сберсити ЖК
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/292933473/,Москва,sale,flat,16,40,1,41.1,31500000,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/303779112/,Москва,sale,flat,16,17,1,38.2,9400000,Орехово-Борисово Южное,Гурьевский проезд,31К2,Зябликово,
Sense Development,developer,https://www.cian.ru/sale/flat/300501957/,Москва,sale,flat,7,13,2,64.9,35782232,Даниловский,Подольское шоссе,3,Тульская,Logos
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/301763282/,Москва,sale,flat,39,41,2,56.9,40000000,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/293510493/,Москва,sale,flat,8,22,2,87.2,38000000,Раменки, Пырьева,9К1,Поклонная,
Мангазея,developer,https://www.cian.ru/sale/flat/301581592/,Москва,sale,flat,9,21,2,74.2,36238909,Щукино,Щукинская ,,Щукинская,Интонация
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/303582856/,Москва,sale,flat,4,21,2,56.2,60000000,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
ANT Development,developer,https://www.cian.ru/sale/flat/303519421/,Москва,sale,flat,2,10,2,59.8,66618396,Дорогомилово,,3к8,Поклонная,Виктори Парк Резиденсез ЖК
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/298050415/,Москва,sale,flat,11,13,2,83.0,99000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/298966070/,Москва,sale,flat,2,9,2,44.4,12000000,Новогиреево, Алексея Дикого,20,Новогиреево,
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/298516183/,Москва,sale,flat,2,12,2,85.94,38612842,,,В19 кв-л,Павшино,Сберсити ЖК
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/303677788/,Москва,sale,flat,2,6,2,60.5,57475000,Пресненский,Большой Предтеченский переулок,22,Улица 1905 года,
Виктория Яковлева,realtor,https://www.cian.ru/sale/flat/303827859/,Москва,sale,flat,2,9,2,48.0,15290000,Северное Тушино, Героев Панфиловцев,3К1,Сходненская,
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/299934989/,Москва,sale,flat,4,13,2,81.26,34421736,,,В21 кв-л,Опалиха,Сберсити ЖК
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/303800679/,Москва,sale,flat,50,64,2,85.0,63000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
Арт Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/301259458/,Москва,sale,flat,3,26,2,36.0,16580000,Лефортово, Крузенштерна,12к3,Авиамоторная,Символ
Ташир,developer,https://www.cian.ru/sale/flat/264100219/,Москва,sale,flat,28,32,2,78.1,33753258,Черемушки,Херсонская ,43к5,Зюзино,ONYX Deluxe
ID 116872018,realtor,https://www.cian.ru/sale/flat/304010195/,Москва,sale,flat,48,69,2,70.0,67200000,Пресненский,Краснопресненская набережная,14Ак2,Москва-Сити,Capital Towers
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/302903145/,Москва,sale,flat,10,12,2,44.0,10600000,Дмитровский,Клязьминская ,4,Грачёвская,
Regions Development,developer,https://www.cian.ru/sale/flat/304060514/,Москва,sale,flat,2,23,2,72.1,35109224,Нагатинский затон,проспект Андропова,9/1к2,Технопарк,Dream Towers
Novel Estates,real_estate_agent,https://www.cian.ru/sale/flat/301247847/,Москва,sale,flat,15,77,2,98.0,88000000,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/303780364/,Москва,sale,flat,4,9,1,33.0,11900000,Нагатинский затон,Судостроительная ,6,Коломенская,
Regions Development,developer,https://www.cian.ru/sale/flat/303838127/,Москва,sale,flat,2,14,2,40.94,18353366,Преображенское,Жилой комплекс Преображенская площадь,,Преображенская площадь,Преображенская площадь
Ramenky Realty,real_estate_agent,https://www.cian.ru/sale/flat/303087894/,Москва,sale,flat,9,14,2,99.71,118450000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Universal Realty,real_estate_agent,https://www.cian.ru/sale/flat/304055272/,Москва,sale,flat,20,20,2,51.0,32800000,Филевский парк,Большая Филевская ,3к2,Фили,Западный порт
Стадион Спартак,developer,https://www.cian.ru/sale/flat/298406172/,Москва,sale,flat,4,13,2,66.7,32609630,Покровское-Стрешнево,Северо-Западный ао,,Спартак,Клубный Город на Реке Примавера ЖК
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/300074305/,Москва,sale,flat,5,38,1,39.8,20000000,Останкинский, Вильгельма Пика,,Ботанический сад,Режиссёр
Dream Realty,real_estate_agent,https://www.cian.ru/sale/flat/302591225/,Москва,sale,flat,9,28,1,34.7,14800000,Богородское,Открытое шоссе,14Д,Бульвар Рокоссовского,Талисман на Рокоссовского
Ташир,developer,https://www.cian.ru/sale/flat/274701405/,Москва,sale,flat,2,17,2,43.3,27062500,Раменки,Мичуринский проспект,вл30Б,Ломоносовский проспект,Legacy
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/303635688/,Москва,sale,flat,2,5,2,106.0,160000000,Тверской,Никольская ,10,Площадь Революции,St. Nickolas
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/292414373/,Москва,sale,flat,16,22,1,15.1,7450000,Тропарево-Никулино,Ленинский проспект,158,Тропарёво,
COLDY,developer,https://www.cian.ru/sale/flat/297997312/,Москва,sale,flat,2,14,2,147.05,303725598,Хамовники,переулок 1-й Тружеников,12,Киевская,Хамовники 12
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/298216770/,Москва,sale,flat,13,44,2,73.2,29500000,Хорошево-Мневники,к2/2,к2/2,Шелепиха,Сидней Сити ЖК
Лофт Инвест,real_estate_agent,https://www.cian.ru/sale/flat/302900739/,Москва,sale,flat,3,16,1,29.6,7400000,Дмитровский,Дмитровское шоссе,107Б,Яхромская,
Sminex,developer,https://www.cian.ru/sale/flat/293713880/,Москва,sale,flat,2,14,2,85.6,168270000,Якиманка,,,Боровицкая,Лаврушинский ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/299509241/,Москва,sale,flat,24,24,2,57.4,39000000,Хорошево-Мневники,Шелепихинская набережная,34к3зд7,Шелепиха,Сердце Столицы
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/303176840/,Москва,sale,flat,7,12,1,43.0,5800000,, Гореловская,3,Силикатная,
Трансстройинвест,developer,https://www.cian.ru/sale/flat/301925930/,Москва,sale,flat,11,23,2,44.1,21442891,Очаково-Матвеевское,Очаково мкр,,Озёрная,ОМ ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303137027/,Москва,sale,flat,2,5,2,106.0,160000000,Тверской,Никольская ,10,Площадь Революции,St. Nickolas
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/300179482/,Москва,sale,flat,8,15,1,36.56,7300000,, Уточкина,4,Силикатная,
Концерн КРОСТ,developer,https://www.cian.ru/sale/flat/299370748/,Москва,sale,flat,3,6,2,44.0,23232000,Хорошево-Мневники, Саляма Адиля,2А,Народное Ополчение,Wellton SPA Residence
Novel Estates,real_estate_agent,https://www.cian.ru/sale/flat/304063027/,Москва,sale,flat,2,16,2,60.0,36500000,Хамовники,Фрунзенская набережная,50,Спортивная,
ТСН Владис,real_estate_agent,https://www.cian.ru/sale/flat/296233811/,Москва,sale,flat,20,25,1,33.9,8000000,,,6,Коммунарка,
Sminex,developer,https://www.cian.ru/sale/flat/304094767/,Москва,sale,flat,3,24,2,55.9,77660000,Пресненский,Электрический переулок,1кАБ,Белорусская,Квартал Тишинский бульвар
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/303071841/,Москва,sale,flat,19,32,1,32.2,25000000,Пресненский,Шмитовский проезд,39к2,Шелепиха,Headliner
BERI,real_estate_agent,https://www.cian.ru/sale/flat/303817562/,Москва,sale,flat,3,9,2,47.0,12490000,Орехово-Борисово Южное,Домодедовская ,33,Домодедовская,
Sminex,developer,https://www.cian.ru/sale/flat/303125490/,Москва,sale,flat,11,14,2,67.1,38790000,Раменки,проспект Генерала Дорохова,39к2М,Ломоносовский проспект,Собрание клубных домов West Garden
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303337092/,Москва,sale,flat,3,7,2,91.2,80000000,Басманный,Гороховский переулок,12с5,Курская,Гороховский 12
One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/302728199/,Москва,sale,flat,5,17,2,55.9,17900000,Отрадное,Нововладыкинский проезд,1к3,Окружная,Поколение
Абсолют Недвижимость,developer,https://www.cian.ru/sale/flat/304065733/,Москва,sale,flat,9,18,1,49.8,54389000,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/303820905/,Москва,sale,flat,10,14,1,65.2,35000000,Мещанский, Гиляровского,50,Проспект Мира,
Unique,real_estate_agent,https://www.cian.ru/sale/flat/303783084/,Москва,sale,flat,6,9,2,60.0,18000000,, Ясеневая,1к1,Ольховая,
EraOneHolding,developer,https://www.cian.ru/sale/flat/284404561/,Москва,sale,flat,8,8,2,121.2,159473684,Арбат, Арбат,24,Смоленская,Turandot Residences
GLINCOM,official_representative,https://www.cian.ru/sale/flat/297952301/,Москва,sale,flat,2,6,2,90.0,34900000,Алексеевский,проспект Мира,102к2,Алексеевская,Парк Мира
Century 21 Level,real_estate_agent,https://www.cian.ru/sale/flat/303116161/,Москва,sale,flat,7,9,2,43.0,11950000,,проспект Магеллана,2,Прокшино,Испанские кварталы
КРОСТ,developer,https://www.cian.ru/sale/flat/296745429/,Москва,sale,flat,26,28,2,47.5,22182500,Хорошево-Мневники, Генерала Глаголева,,,CRYSTAL Трилогия
ALFA real estate,real_estate_agent,https://www.cian.ru/sale/flat/301407636/,Москва,sale,flat,21,22,1,38.5,15500000,Южное Тушино,бульвар Яна Райниса,45К2,Сходненская,
BERI,real_estate_agent,https://www.cian.ru/sale/flat/300568239/,Москва,sale,flat,3,5,2,46.7,12390000,Новогиреево,Мартеновская ,20,Новогиреево,
VESPER,developer,https://www.cian.ru/sale/flat/287317369/,Москва,sale,flat,5,21,1,65.9,78259545,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
Marry Lane Group,real_estate_agent,https://www.cian.ru/sale/flat/303980600/,Москва,sale,flat,4,10,2,44.3,34000000,Беговой, 1-я Ямского Поля,1к1,Белорусская,Slava
Dream Realty,real_estate_agent,https://www.cian.ru/sale/flat/303226697/,Москва,sale,flat,7,12,1,39.4,7900000,,проспект Куприна,32к1,Бунинская аллея,Эко Бунино
MR Group,developer,https://www.cian.ru/sale/flat/294196808/,Москва,sale,flat,33,41,2,75.2,38352000,Филевский парк,Багратионовский проезд,5Ак1,Фили,Filicity
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/289514736/,Москва,sale,flat,2,5,2,64.0,166400000,Хамовники,Пречистенская набережная,43,Кропоткинская,Carré Blanc
Адресат,real_estate_agent,https://www.cian.ru/sale/flat/301737380/,Москва,sale,flat,4,14,1,34.9,8800000,Выхино-Жулебино,Ташкентская ,26,Юго-Восточная,
Группа Родина,developer,https://www.cian.ru/sale/flat/285606685/,Москва,sale,flat,2,23,2,62.5,31200000,Ростокино,,к2,Ботанический сад,Союз ЖК
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/301035843/,Москва,sale,flat,3,7,2,99.0,80000000,Басманный,Гороховский переулок,12,Курская,Гороховский 12
Оксана Чернега,realtor,https://www.cian.ru/sale/flat/304050433/,Москва,sale,flat,5,14,2,67.8,45000000,Даниловский, Архитектора Щусева,2к1,ЗИЛ,ЗИЛАРТ
GloraX,developer,https://www.cian.ru/sale/flat/303476931/,Москва,sale,flat,10,21,2,67.62,38059999,Беговой, 1-я Ямского Поля,28С3,Белорусская,GloraX Premium Белорусская
Marry Lane Group,real_estate_agent,https://www.cian.ru/sale/flat/292853214/,Москва,sale,flat,36,41,2,58.3,33000000,Раменки,1-й Сетуньский проезд,вл8,Кутузовская,Hide
BERI,real_estate_agent,https://www.cian.ru/sale/flat/303810531/,Москва,sale,flat,5,8,2,44.7,14190000,Донской,Варшавское шоссе,18К3,Верхние котлы,
Ташир,developer,https://www.cian.ru/sale/flat/302722354/,Москва,sale,flat,2,16,2,46.8,23868000,Даниловский, Серпуховский Вал,1,Тульская,DECO RESIDENCE (Апартаменты премиум-класса)
ЛИДЕР Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/302153579/,Москва,sale,flat,12,41,1,41.9,30900000,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
BERI,real_estate_agent,https://www.cian.ru/sale/flat/303814205/,Москва,sale,flat,2,9,1,34.1,20490000,Красносельский,переулок Даев,12/16,Сухаревская,
Sminex,developer,https://www.cian.ru/sale/flat/303262395/,Москва,sale,flat,2,21,2,59.52,27900000,Марфино, Академика Королева,21,Бутырская,Дом Достижение
